hash_code,is_active,create_time,update_time,channel_detail,channel_id,channel_type,entity,field,value
0db1e8fd0aec263e466ff2e7843a8760,Y,2024-11-18 17:10:54.875761 +00:00,2024-11-18 17:10:54.875765 +00:00,Shopping Mall,b4d0a73361df1bbe3e0e44e91eefb321,ONLINE_MALL,CollectOrder,orderId,0105434100043
5de287d2f3384ad5bf0e318eee7c363d,Y,2024-11-18 17:10:54.875761 +00:00,2024-11-18 17:10:54.875765 +00:00,Shopping Mall,b4d0a73361df1bbe3e0e44e91eefb321,ONLINE_MALL,CollectOrder,orderId,0105434100040
dd361d98d1f92ecca1b6fc4f130fb4ba,Y,2024-11-18 17:10:54.875761 +00:00,2024-11-18 17:10:54.875765 +00:00,Shopping Mall,b4d0a73361df1bbe3e0e44e91eefb321,ONLINE_MALL,CollectOrder,orderId,0105434100005
b7a98f66ba1c118cc3a965900dba5d94,Y,2024-11-18 17:10:54.875761 +00:00,2024-11-18 17:10:54.875765 +00:00,Shopping Mall,b4d0a73361df1bbe3e0e44e91eefb321,ONLINE_MALL,CollectOrder,orderId,0105434100004
5a181b8ac44c1300c8a88239d2c8ca83,Y,2024-11-18 17:10:54.875761 +00:00,2024-11-18 17:10:54.875765 +00:00,Shopping Mall,b4d0a73361df1bbe3e0e44e91eefb321,ONLINE_MALL,CollectOrder,orderId,0105434100003
a4c6c9b8b6eddb1a326d7b3f8e00a00c,Y,2024-11-18 17:10:54.875761 +00:00,2024-11-18 17:10:54.875765 +00:00,Shopping Mall,b4d0a73361df1bbe3e0e44e91eefb321,ONLINE_MALL,CollectOrder,orderId,0105434000056
902796b6c76d14761302ee4f631fcc3a,Y,2024-11-18 17:10:54.875761 +00:00,2024-11-18 17:10:54.875765 +00:00,Shopping Mall,b4d0a73361df1bbe3e0e44e91eefb321,ONLINE_MALL,CollectOrder,orderId,0105434000055
077f03fa81c4952c52363332a15edaed,Y,2024-11-05 23:53:16.615460 +00:00,2024-11-05 23:53:16.615463 +00:00,,8622ace6b04c90c339cf3e170c604be8,ONLINE_MALL,CollectOrder,orderId,0105434000053
0829c360a4e912724809438585744180,Y,2024-11-05 23:53:16.615460 +00:00,2024-11-05 23:53:16.615463 +00:00,,8622ace6b04c90c339cf3e170c604be8,ONLINE_MALL,CollectOrder,orderId,0105434000052
5581ccae8e8e26283916ded6405ed6e4,Y,2024-11-05 23:53:16.615460 +00:00,2024-11-05 23:53:16.615463 +00:00,,8622ace6b04c90c339cf3e170c604be8,ONLINE_MALL,CollectOrder,orderId,0105434000051
6d0f86f518e2316638f42fd26b0c82de,Y,2024-11-05 23:53:16.615460 +00:00,2024-11-05 23:53:16.615463 +00:00,,8622ace6b04c90c339cf3e170c604be8,ONLINE_MALL,CollectOrder,orderId,0105434000050
38b6e18b03d970889c7621bf55081306,Y,2024-11-05 23:53:16.615460 +00:00,2024-11-05 23:53:16.615463 +00:00,,8622ace6b04c90c339cf3e170c604be8,ONLINE_MALL,CollectOrder,orderId,0105434000049
10671c617287fd9dac2762e309121710,Y,2024-11-05 23:53:16.615460 +00:00,2024-11-05 23:53:16.615463 +00:00,,8622ace6b04c90c339cf3e170c604be8,ONLINE_MALL,CollectOrder,orderId,0105434000048
388f79ea8b9f552bf12b0c7d932200f0,Y,2024-11-05 23:53:16.615460 +00:00,2024-11-05 23:53:16.615463 +00:00,,8622ace6b04c90c339cf3e170c604be8,ONLINE_MALL,CollectOrder,orderId,0105434000047
8f850987e40103ab36210aa8592f671d,Y,2024-11-05 23:53:16.615460 +00:00,2024-11-05 23:53:16.615463 +00:00,,8622ace6b04c90c339cf3e170c604be8,ONLINE_MALL,CollectOrder,orderId,0105434000046
891b5a8801c50c2b558ce3f102e2c64f,Y,2024-11-05 23:53:16.615460 +00:00,2024-11-05 23:53:16.615463 +00:00,,8622ace6b04c90c339cf3e170c604be8,ONLINE_MALL,CollectOrder,orderId,0105434000045
