duration_in_months,end_date,is_active,is_signed,revision,start_date,create_time,signed_time,update_time,channel_contract_id,channel_order_item_id,contract_id,contract_status,customer_id,entity,field,form_id,hash_code,material_id,order_id,order_item_id,rental_code,value
36,,Y,true,0,,,2024-12-06 13:05:23.991000 +00:00,,gid://shopify/SubscriptionContract/15481995449,S-241206-000026,0105434100051-0101-30000A,PENDING_CONFIRMATION,571da871e422fafdb7f1920522784445,CollectOrderItem,orderItemId,,72ec62fecd405cc46915143c0f63fc86,WP_113627,0105434100051,0105434100051-0101,30000A,0105434100051-0101
36,,Y,true,0,,,2024-12-06 12:55:14.879000 +00:00,,gid://shopify/SubscriptionContract/13002604760,S-241206-000003,0105434100047-0201-30000A,PENDING_CONFIRMATION,571da871e422fafdb7f1920522784445,CollectOrderItem,orderItemId,,531959274ea4a0f3a30ce74765536985,WP_113727,0105434100047,0105434100047-0201,30000A,0105434100047-0201
36,,Y,true,0,,,2024-12-06 12:55:14.841000 +00:00,,gid://shopify/SubscriptionContract/13002571992,S-241206-000002,0105434100047-0101-30000A,PENDING_CONFIRMATION,571da871e422fafdb7f1920522784445,CollectOrderItem,orderItemId,,746eb520bb7b29f22ede561628353cca,WP_113727,0105434100047,0105434100047-0101,30000A,0105434100047-0101
36,,Y,true,0,,,2024-12-06 09:28:18.706000 +00:00,,gid://shopify/SubscriptionContract/15481307321,S-241206-000025,0105434100046-0101-30000A,PENDING_CONFIRMATION,202c6ea13a319674e4987e01a767df0e,CollectOrderItem,orderItemId,,166c49e9d63b915f1e11f2d429a268e8,WP_113627,0105434100046,0105434100046-0101,30000A,0105434100046-0101
36,,Y,true,0,,,2024-12-06 08:08:04.132000 +00:00,,gid://shopify/SubscriptionContract/15481077945,S-241206-000018,0105434100043-0501-30000A,PENDING_CONFIRMATION,571da871e422fafdb7f1920522784445,CollectOrderItem,orderItemId,,88414edbd49f3fa1403c3c9737f7a964,WP_113786,0105434100043,0105434100043-0501,30000A,0105434100043-0501
36,,Y,true,0,,,2024-12-06 08:08:04.132000 +00:00,,gid://shopify/SubscriptionContract/15481110713,S-241206-000019,0105434100043-0601-30000A,PENDING_CONFIRMATION,571da871e422fafdb7f1920522784445,CollectOrderItem,orderItemId,,b210259fb3a4978ad0d3fda702833ad3,WP_113786,0105434100043,0105434100043-0601,30000A,0105434100043-0601
36,,Y,true,0,,,2024-12-06 08:08:04.132000 +00:00,,gid://shopify/SubscriptionContract/15480979641,S-241206-000015,0105434100043-0201-30000A,CONTRACT_CANCELLED,571da871e422fafdb7f1920522784445,CollectOrderItem,orderItemId,,74f23ec112fec0261b0e5b2cd7fd944b,WP_113786,0105434100043,0105434100043-0201,30000A,0105434100043-0201
36,,Y,true,0,,,2024-12-06 08:08:04.132000 +00:00,,gid://shopify/SubscriptionContract/15481012409,S-241206-000016,0105434100043-0301-30000A,CONTRACT_CANCELLED,571da871e422fafdb7f1920522784445,CollectOrderItem,orderItemId,,09c5482706aa3926a7851cfa1931ebc7,WP_113786,0105434100043,0105434100043-0301,30000A,0105434100043-0301
36,,Y,true,0,,,2024-12-06 08:08:04.132000 +00:00,,gid://shopify/SubscriptionContract/15481045177,S-241206-000017,0105434100043-0401-30000A,PENDING_CONFIRMATION,571da871e422fafdb7f1920522784445,CollectOrderItem,orderItemId,,2841802dd3bcfd1ca265bfe7fb8e289b,WP_113786,0105434100043,0105434100043-0401,30000A,0105434100043-0401
36,,Y,true,0,,,2024-12-06 08:08:04.116000 +00:00,,gid://shopify/SubscriptionContract/15480946873,S-241206-000014,0105434100043-0101-30000A,CONTRACT_CANCELLED,571da871e422fafdb7f1920522784445,CollectOrderItem,orderItemId,,f989d15e42b08f4e829584a5a15dc8e7,WP_113786,0105434100043,0105434100043-0101,30000A,0105434100043-0101
