is_active,cancel_time,create_time,update_time,billing_id,customer_service_id,customer_service_ticket_id,hash_code,order_id,order_item_id,service_flow_id,service_status,service_type,work_id
Y,2024-12-06 14:06:31.495307 +00:00,2024-12-06 14:06:31.495318 +00:00,2024-12-06 14:06:31.495321 +00:00,,,,87263022ee3adc4e5d6c59d5c8ac51de,0105434100051,0105434100051-0101,1Z6mb0inctV,BOOKING_SCHEDULED,INSTALL,2024120697bf5be5b15a4a14867a8e21cdd37207
Y,2024-12-06 14:06:31.498866 +00:00,2024-12-06 14:06:31.498874 +00:00,2024-12-06 14:06:31.498875 +00:00,,,,00f89de852a779a5449ab0b60b003d90,0105434100047,0105434100047-0201,1Z6lq5z6Iv2,BOOKING_SCHEDULED,INSTALL,2024120651b5d0e5f69342b99e0379d3e21faac2
Y,2024-12-06 14:06:31.500606 +00:00,2024-12-06 14:06:31.500610 +00:00,2024-12-06 14:06:31.500611 +00:00,,,,403993b014abc4ee0725ad1ff07fcc23,0105434100047,0105434100047-0101,1Z6lpwdTPH4,BOOKING_SCHEDULED,INSTALL,20241206a5e2b1045823401d9eda9f0037ee3882
Y,2024-12-06 14:06:31.502920 +00:00,2024-12-06 14:06:31.502924 +00:00,2024-12-06 14:06:31.502925 +00:00,,,,f1266c9f3bcd5c3098530208de5b2256,0105434100046,0105434100046-0101,1Z6X5FaSLX7,BOOKING_SCHEDULED,INSTALL,20241206fd5a55147ad14448ac4b0d5fe838de90
Y,2024-12-06 14:06:31.505976 +00:00,2024-12-06 14:06:31.505978 +00:00,2024-12-06 14:06:31.505979 +00:00,,,,d773ac5ab4fb8e1336487e3b473f95a4,0105434100045,0105434100045-0202,1Z6WcvsaY28,BOOKING_SCHEDULED,INSTALL,2024120664745b6784754b1ca2901017fa7514bd
Y,2024-12-06 14:06:31.507120 +00:00,2024-12-06 14:06:31.507122 +00:00,2024-12-06 14:06:31.507122 +00:00,,,,e8e6e08f39963474f91bda85c49af18b,0105434100045,0105434100045-0102,1Z6WcqDkLEk,BOOKING_SCHEDULED,INSTALL,2024120629e9f64317d143dfac88de122221c4c3
Y,2024-12-06 14:06:31.511238 +00:00,2024-12-06 14:06:31.511245 +00:00,2024-12-06 14:06:31.511246 +00:00,,,,5ed00533e7aedf57ec7b8257a1e23fbb,0105434100044,0105434100044-0302,1Z6U9MQZGiB,BOOKING_SCHEDULED,INSTALL,202412062b2db475b21a4060a9249e2268fc3ac9
Y,2024-12-06 14:06:31.512317 +00:00,2024-12-06 14:06:31.512319 +00:00,2024-12-06 14:06:31.512320 +00:00,,,,4e7a58c3eda24dab5b12a4935a67bb06,0105434100044,0105434100044-0202,1Z6U9K5WFDK,BOOKING_SCHEDULED,INSTALL,202412065884348eb5d546b4971b6fed9c4893b6
Y,2024-12-06 14:06:31.513177 +00:00,2024-12-06 14:06:31.513179 +00:00,2024-12-06 14:06:31.513179 +00:00,,,,a964fb8522c6a19fb296da5038ef4a53,0105434100044,0105434100044-0102,1Z6U90BtXt9,BOOKING_SCHEDULED,INSTALL,202412065dbea775f7754c2a9fe3686511c3232f
Y,2024-12-06 14:06:31.514013 +00:00,2024-12-06 14:06:31.514015 +00:00,2024-12-06 14:06:31.514016 +00:00,,,,3fbab18a0753984c5cebbcd377edd13a,0105434100043,0105434100043-0601,1Z6RMuNyas1,SERVICE_CREATED,INSTALL,
