customer_id,email,phone,user_id,last_name,first_name,account_type,customer_status,referrer_code,create_time,update_time
B5vdB5phMkD7a6rsaaf2yWJDcufeD8K,help@necoa.com,+1.213.453.0369,N100,ABC.C.N200,"NECOA, Inc.",CORPORATE,ACTIVE,UNKNOWN,2025-01-02 0:00:00,2025-01-02 0:00:00
2ozWrhfAYXTqk3gZMcI8dhvlECNmNcP,help@necoa-tech.com,+1.213.453.0369,N100,ABC.C.N300,"NECOA Tech, Inc.",CORPORATE,ACTIVE,UNKNOWN,2025-01-02 0:00:00,2025-01-02 0:00:00
p4j3gEm09UMNyciz3FwPCkZNhzuXlMe,help@necoa-holdins.com,+1.213.453.0369,N200,ABC.C.N100,"NECOA Holdings, Inc.",CORPORATE,ACTIVE,UNKNOWN,2025-01-02 0:00:00,2025-01-02 0:00:00
lHCc7MNvDYOhaRXXijEtsMixMmLM191,help@necoa-tech.com,+1.213.453.0369,N200,ABC.C.N300,"NECOA Tech, Inc.",CORPORATE,ACTIVE,UNKNOWN,2025-01-02 0:00:00,2025-01-02 0:00:00
KGaBauvrC6b7DQ6ZDRxm9TH90cTBOAt,help@necoa-holdins.com,+1.213.453.0369,N300,ABC.C.N100,"NECOA Holdings, Inc.",CORPORATE,ACTIVE,UNKNOWN,2025-01-02 0:00:00,2025-01-02 0:00:00
O0psWmySYO2NhR5thynz7WSESzaZcAj,help@necoa.com,+1.213.453.0369,N300,ABC.C.N200,"NECOA, Inc.",CORPORATE,ACTIVE,UNKNOWN,2025-01-02 0:00:00,2025-01-02 0:00:00
psVw1ng0FqEGv8cLfWhLBlLqkMhUGB0,test-help@necoa.com,+1.213.453.0369,T100,ABC.C.T200,"[TEST] NECOA, Inc.",CORPORATE,ACTIVE,UNKNOWN,2025-01-02 0:00:00,2025-01-02 0:00:00
qMYl1xLD6pBmzye9b2rr52FitMkVGZw,test-help@necoa-tech.com,+1.213.453.0369,T100,ABC.C.T300,"[TEST] NECOA Tech, Inc.",CORPORATE,ACTIVE,UNKNOWN,2025-01-02 0:00:00,2025-01-02 0:00:00
Ess9AOAk1BWkpGSLm31nlIeyfn1W5yq,test-help@necoa-holdins.com,+1.213.453.0369,T200,ABC.C.T100,"[TEST] NECOA Holdings, Inc.",CORPORATE,ACTIVE,UNKNOWN,2025-01-02 0:00:00,2025-01-02 0:00:00
tydOO6bBSQnjftAbZ2fychPJjx8aTob,test-help@necoa-tech.com,+1.213.453.0369,T200,ABC.C.T300,"[TEST] NECOA Tech, Inc.",CORPORATE,ACTIVE,UNKNOWN,2025-01-02 0:00:00,2025-01-02 0:00:00
qtzTk5aIV45evegD9MRFp93Mxk0Kd4k,test-help@necoa-holdins.com,+1.213.453.0369,T300,ABC.C.T100,"[TEST] NECOA Holdings, Inc.",CORPORATE,ACTIVE,UNKNOWN,2025-01-02 0:00:00,2025-01-02 0:00:00
0tVoqVNYKOzPpn6YA7jPCK3rJWOMlPP,test-help@necoa.com,+1.213.453.0369,T300,ABC.C.T200,"[TEST] NECOA, Inc.",CORPORATE,ACTIVE,UNKNOWN,2025-01-02 0:00:00,2025-01-02 0:00:00
