company_code,account_code,name,description,account_class,account_type,is_open_item_mgmt,consolidation_account_code,qbo_parent_account_code,qbo_account_type,qbo_account_subtype,system_source,is_active
T200,1101010,Cash,현금,ASSET,GENERAL,N,111111,,Bank,CashOnHand,ABC,Y
T200,1101030,Cash on hand (Petty cash),소액현금,ASSET,GENERAL,N,111111,,Bank,CashOnHand,ABC,Y
T200,1103001,Current Deposits (1),당좌예금(1),ASSET,GENERAL,N,111112,,Bank,Checking,ABC,Y
T200,1103002,Current Deposits (2),당좌예금(2),ASSET,GENERAL,N,111112,,Bank,Checking,ABC,Y
T200,1103003,Current Deposits (3),당좌예금(3),ASSET,GENERAL,N,111112,,Bank,Checking,ABC,Y
T200,1105001,Deposits on Demand (1),보통예금(1),ASSET,GENERAL,N,111113,,Bank,Checking,ABC,Y
T200,1105002,Deposits on Demand (2),보통예금(2),ASSET,GENERAL,N,111113,,Bank,Checking,ABC,Y
T200,1105003,Deposits on Demand (3),보통예금(3),ASSET,GENERAL,N,111113,,Bank,Checking,ABC,Y
T200,1105004,Deposits on Demand (4),보통예금(4),ASSET,GENERAL,N,111113,,Bank,Checking,ABC,Y
T200,1105005,Outstanding check,미결제수표,ASSET,GENERAL,N,111113,,Bank,Checking,ABC,Y
T200,1117010,Accounts Receivable - Rental,렌탈미수금-렌탈료,ASSET,CUSTOMER,Y,111312,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1117011,Accounts Receivable - Rental Penalty,렌탈미수금-위약금,ASSET,CUSTOMER,Y,111312,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1117020,Accounts Receivable - Membership,멤버쉽미수금-멤버쉽회비,ASSET,CUSTOMER,Y,111312,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1117021,Accounts Receivable - Membership penalty,멤버쉽미수금-위약금,ASSET,CUSTOMER,Y,111312,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1117041,Finance lease receivable - Billing,금융리스채권-월 렌탈료,ASSET,CUSTOMER,Y,111611,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1117042,Finance lease receivable - Penalty,금융리스채권-위약금,ASSET,CUSTOMER,Y,111611,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1117043,Finance lease receivable - Equipment_Current,금융리스채권-할부발생(리스렌탈료 일부상계),ASSET,CUSTOMER,Y,111611,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1117044,Finance lease receivable - Equipment_Current C,금융리스채권-할부발생(단기조정),ASSET,CUSTOMER,N,111611,,Other Current Asset,OtherCurrentAssets,ABC,Y
T200,1117050,Accounts Receivable - Sales,외상매출금-일시불 판매,ASSET,CUSTOMER,Y,111312,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1117060,Accounts Receivable - Installment,외상매출금-할부,ASSET,CUSTOMER,Y,111312,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1117061,Accounts Receivable - Return,외상매출금-회수비,ASSET,CUSTOMER,Y,111312,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1117070,Accounts Receivable - Installment (LT),장기할부채권-할부발생,ASSET,CUSTOMER,Y,111312,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1117080,Accounts Receivable - Installment (LT)_Adjustment,장기할부채권-할부발생 단기조정,ASSET,CUSTOMER,N,111312,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1117090,Accounts Receivable - Installment (LT)_Billing,장기할부채권-월할부금,ASSET,CUSTOMER,Y,111312,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1117100,Accounts Receivable - Service,외상매출금-용역수입,ASSET,CUSTOMER,Y,111312,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1118010,Allowance for bad debt - O.Lease,대손충당금(렌탈미수금),ASSET,GENERAL,N,111314,,Other Current Asset,AllowanceForBadDebts,ABC,Y
T200,1118020,Allowance for bad debt - Membership,대손충당금(멤버쉽미수금),ASSET,GENERAL,N,111314,,Other Current Asset,AllowanceForBadDebts,ABC,Y
T200,1118030,Allowance for bad debt - AR,대손충당금(외상매출금),ASSET,GENERAL,N,111314,,Other Current Asset,AllowanceForBadDebts,ABC,Y
T200,1118058,Allowance for bad debt - Finance Lease,대손충당금(금융리스),ASSET,GENERAL,N,111613,,Other Current Asset,AllowanceForBadDebts,ABC,Y
T200,1120010,Notes Receivable,받을어음,ASSET,GENERAL,Y,111312,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1121010,Allowance for bad debt - Notes,대손충당금(받을어음),ASSET,GENERAL,N,111314,,Other Current Asset,AllowanceForBadDebts,ABC,Y
T200,1122010,Present value discount of account receivable,현재가치할인차금-할부-단기,ASSET,GENERAL,N,111313,,Other Current Asset,OtherCurrentAssets,ABC,Y
T200,1122011,Present value discount of account receivable (Adjustment),현재가치할인차금-할부(단기조정),ASSET,GENERAL,N,111313,,Other Current Asset,OtherCurrentAssets,ABC,Y
T200,1122012,Present value discounts Current,현재가치할인차금-금융리스 단기,ASSET,GENERAL,N,111612,,Other Current Asset,OtherCurrentAssets,ABC,Y
T200,1122013,Present value discounts Current C,현재가치할인차금-금융리스 단기조정,ASSET,GENERAL,N,111612,,Other Current Asset,OtherCurrentAssets,ABC,Y
T200,1123010,Short-term Loans (employees),단기대여금-임직원,ASSET,GENERAL,N,111317,,Other Current Asset,LoansToOfficers,ABC,Y
T200,1123020,Short-term Loans,단기대여금-관계사,ASSET,GENERAL,N,111317,,Other Current Asset,LoansToOthers,ABC,Y
T200,1124010,Allowance for bad debt - Short-term Loans,대손충당금(단기대여금),ASSET,GENERAL,N,111319,,Other Current Asset,AllowanceForBadDebts,ABC,Y
T200,1126010,OTHER RECEIVABLES,미수금,ASSET,GENERAL,Y,111320,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1126020,Undeposited Fund - Credit Card,카드미수금,ASSET,GENERAL,Y,111320,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1126021,Undeposited Fund - ACH,미수금-ACH,ASSET,GENERAL,Y,111320,,Accounts Receivable,AccountsReceivable,ABC,Y
T200,1126030,Other Receivables - Lost Fee,미수금-분실료,ASSET,GENERAL,N,111320,,Accounts Receivable,AccountsReceivable,ABC,Y
