id,charge_item_type,quantity,total_price,item_price,discount_price,prepaid_amount,promotions,currency,is_tax_exempt,create_time,update_time,service_charge_id,material_id,is_excluded,remark
1a0yT8zNQeN,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-09 09:37:59.893476,2025-01-09 09:37:59.893476,1a0yT8zNQeM,,false,
1a0yYaWCbd8,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-09 09:39:13.624750,2025-01-09 09:39:13.624750,1a0yYaVv0V3,,false,
1a0yzVazQjd,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-09 09:45:18.160751,2025-01-09 09:45:18.160751,1a0yzVazQjc,,false,
1a0z7XTurIn,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-09 09:47:06.909472,2025-01-09 09:47:06.909472,1a0z7XTurIm,,false,
1a108B21LAX,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-09 10:01:15.166251,2025-01-09 10:01:15.166251,1a108B21LAW,,false,
1a125bU58nJ,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-09 10:28:39.579417,2025-01-09 10:28:39.579417,1a125adqwrQ,,false,
1a125mLNfM0,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-09 10:28:41.927578,2025-01-09 10:28:41.927578,1a125mL64Dv,,false,
1a14dEIoUg3,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-09 11:04:14.171313,2025-01-09 11:04:14.171313,1a14dEIoUg2,,false,
1a14dLQlwE1,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-09 11:04:15.720900,2025-01-09 11:04:15.720900,1a14dLQlwE0,,false,
1a1BIny8r2g,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-09 12:37:34.900340,2025-01-09 12:37:34.900340,1a1BIny8r2f,,false,
1a1D0IQlw1R,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-09 13:01:23.492571,2025-01-09 13:01:23.492571,1a1D0IQlw1Q,,false,
1a1xTPwsYlO,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-09 23:51:40.330988,2025-01-09 23:51:40.330988,1a1xTPwsYlN,,false,
1a20HsQ6hVY,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-10 00:31:02.863473,2025-01-10 00:31:02.863473,1a20HsQ6hVX,,false,
1a20IEbuqwI,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-10 00:31:07.711038,2025-01-10 00:31:07.711038,1a20IEbuqwH,,false,
1a20ITCYSVr,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-10 00:31:10.895574,2025-01-10 00:31:10.895574,1a20ITCYSVq,,false,
1a20IfMBStI,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-10 00:31:13.550588,2025-01-10 00:31:13.550588,1a20IfMBStH,,false,
1a20Is6zvJB,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-10 00:31:16.335629,2025-01-10 00:31:16.335629,1a20Is6zvJA,,false,
1a20J4HDhZN,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-10 00:31:18.994618,2025-01-10 00:31:18.994618,1a20J4HDhZM,,false,
1a20JMO7GiO,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-10 00:31:22.949683,2025-01-10 00:31:22.949683,1a20JMO7GiN,,false,
1a20JYaaGOH,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-10 00:31:25.614694,2025-01-10 00:31:25.614694,1a20JYaIfGC,,false,
1a20Jl83Zh8,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-10 00:31:28.354166,2025-01-10 00:31:28.354166,1a20Jl83Zh7,,false,
1a20Jy16P4j,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-10 00:31:31.169280,2025-01-10 00:31:31.169280,1a20Jy16P4i,,false,
1a20K9rSGUs,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-10 00:31:33.755643,2025-01-10 00:31:33.755643,1a20K9rSGUr,,false,
1a20KMshsXU,INSTALLATION_FEE,1,0.0000,0.0000,0.0000,0.0000,[],USD,false,2025-01-10 00:31:36.605530,2025-01-10 00:31:36.605530,1a20KMshsXT,,false,
