hash_code,entity,field,value,total_price,discount_price,item_price,prepaid_amount,tax,registration_price,currency,is_tax_exempt,quantity,channel_order_id,channel_order_item_id,contract_id,install_id,shipping_id,material_id,order_id,order_item_id,order_item_status,order_item_type,create_time,update_time,is_active
141ae6695d8949451ba7cc15297e7bfa,CollectOrder,order_id,0105436600008,1461.3800,0.0000,1350.0000,,111.3800,0.0000,USD,N,1,G-241231-000007,S-241231-000006,,,,WP_987012,0105436600008,0105436600008-0102,ORDER_RECEIVED,ONETIME,,2024-12-31 06:49:59.312000 +00:00,Y
74a51605a558c24cff0823af4e9aade4,CollectOrder,order_id,0105436600004,0.0000,0.0000,0.0000,,0.0000,0.0000,USD,N,1,G-241231-000002,S-241231-000001,0105436600004-0101-50000A,,,WP_999011,0105436600004,0105436600004-0101,ORDER_RECEIVED,RENTAL,,2024-12-31 04:44:23.654000 +00:00,Y
a660216caf6bef474a4863d539a65bb0,CollectOrder,order_id,0105436600003,0.0000,0.0000,0.0000,,0.0000,0.0000,USD,N,1,G-241231-000003,S-241231-000003,0105436600003-0101-30000A,,,WP_113627,0105436600003,0105436600003-0101,ORDER_RECEIVED,RENTAL,,2024-12-31 04:33:15.757000 +00:00,Y
7d4c02fcda1a7ff6356611e590eb0014,CollectOrder,order_id,0105436600002,0.0000,0.0000,0.0000,,0.0000,0.0000,USD,N,1,G-241231-000002,S-241231-000002,0105436600002-0101-30000A,,,WP_113627,0105436600002,0105436600002-0101,ORDER_RECEIVED,RENTAL,,2024-12-31 03:56:36.397000 +00:00,Y
3a10309565eb93fe5459331626f34030,CollectOrder,order_id,0105436600001,0.0000,0.0000,0.0000,,0.0000,0.0000,USD,N,1,G-241231-000001,S-241231-000001,0105436600001-0101-30000A,,,WP_113627,0105436600001,0105436600001-0101,ORDER_RECEIVED,RENTAL,,2024-12-31 03:51:41.662000 +00:00,Y
1a9bb503ba5b65c7b3aa1b3883741fa3,CollectOrder,order_id,0105436500072,0.0000,0.0000,0.0000,,0.0000,0.0000,USD,N,1,G-241230-000021,S-241230-000029,0105436500072-0101-30000A,,,WP_113627,0105436500072,0105436500072-0101,ORDER_RECEIVED,RENTAL,,2024-12-30 10:37:03.406000 +00:00,Y
9bdd0d9de8efd61155a6c12c0a2fa11b,CollectOrder,order_id,0105436500071,0.0000,0.0000,0.0000,,0.0000,0.0000,USD,N,1,G-241230-000020,S-241230-000028,0105436500071-0101-30000A,,,WP_113627,0105436500071,0105436500071-0101,ORDER_RECEIVED,RENTAL,,2024-12-30 09:02:27.569000 +00:00,Y
b095da6ed895d790e93b747dac58c97b,CollectOrder,order_id,0105436500070,0.0000,0.0000,0.0000,,0.0000,0.0000,USD,N,1,100117355483533533,1001173554835335331457707,0105436500070-0101-50000A,,,WP_113780,0105436500070,0105436500070-0101,ORDER_RECEIVED,RENTAL,,2024-12-30 08:45:54.415000 +00:00,Y
66c8bf4263e7a1946b59cd8704ecc56b,CollectOrder,order_id,0105436500069,0.0000,0.0000,0.0000,,0.0000,0.0000,USD,N,1,100117355483507501,1001173554835075011887562,0105436500069-0101-30000A,,,WP_113786,0105436500069,0105436500069-0101,ORDER_RECEIVED,RENTAL,,2024-12-30 08:45:51.628000 +00:00,Y
3a3ddda22c5ce90892bb07dab58401bb,CollectOrder,order_id,0105436500068,0.0000,0.0000,0.0000,,0.0000,0.0000,USD,N,1,100117355483475722,1001173554834757221254647,0105436500068-0101-50000A,,,WP_999015,0105436500068,0105436500068-0101,ORDER_RECEIVED,RENTAL,,2024-12-30 08:45:48.504000 +00:00,Y
