hash_code,billing_id,customer_service_id,customer_service_ticket_id,order_id,order_item_id,service_flow_id,service_status,service_type,work_id,cancel_time,create_time,update_time,is_active
d561495f9f957dc1c2f1b7e17f4eff52,,,,0105436600008,0105436600008-0102,1ZlqKObVV01,SERVICE_CREATED,INSTALL,,,2024-12-31 06:49:59.408000 +00:00,2024-12-31 06:49:59.408000 +00:00,Y
5da71ba0b369312fdfdfb402b76152f8,,,,0105436600004,0105436600004-0101,1ZlhLwkDhbd,SERVICE_CREATED,INSTALL,,,2024-12-31 04:44:23.826000 +00:00,2024-12-31 04:44:23.826000 +00:00,Y
8b84f0e4bdbdc95a6695315d8c8d5e0c,,,,0105436600003,0105436600003-0101,1ZlgYcQg1g4,SERVICE_CREATED,INSTALL,,,2024-12-31 04:33:15.820000 +00:00,2024-12-31 04:33:15.820000 +00:00,Y
8e4a02701c3ca3800f0309c4b8a82229,,,,0105436600002,0105436600002-0101,1ZldwD3QCxn,SERVICE_CREATED,INSTALL,,,2024-12-31 03:56:36.429000 +00:00,2024-12-31 03:56:36.429000 +00:00,Y
1d5079880e83bdcf9013a915ca99ed6c,,,,0105436600001,0105436600001-0101,1ZldaSMeSQm,SERVICE_CREATED,INSTALL,,,2024-12-31 03:51:41.856000 +00:00,2024-12-31 03:51:41.856000 +00:00,Y
e549f2db5710bb11fed70666e271e7f4,,,,0105436500072,0105436500072-0101,1ZkReOaiSEv,SERVICE_CREATED,INSTALL,,,2024-12-30 10:37:03.435000 +00:00,2024-12-30 10:37:03.435000 +00:00,Y
e532a0ee32fe0c4770ddc1fd456191b8,,,,0105436500071,0105436500071-0101,1ZkKtH3UOjf,SERVICE_CREATED,INSTALL,,,2024-12-30 09:02:27.594000 +00:00,2024-12-30 09:02:27.594000 +00:00,Y
755ec4e44dbd45dc0adc5eaa1f5859e9,,,,0105436500070,0105436500070-0101,1ZkJhw8jDm9,SERVICE_CREATED,INSTALL,,,2024-12-30 08:45:54.436000 +00:00,2024-12-30 08:45:54.436000 +00:00,Y
218815a24684d375430fce9bcd214c34,,,,0105436500069,0105436500069-0101,1ZkJhjN3xz3,SERVICE_CREATED,INSTALL,,,2024-12-30 08:45:51.648000 +00:00,2024-12-30 08:45:51.648000 +00:00,Y
1905ebc98db73c93d6396bcfd85337ab,,,,0105436500068,0105436500068-0101,1ZkJhV5j65R,SERVICE_CREATED,INSTALL,,,2024-12-30 08:45:48.531000 +00:00,2024-12-30 08:45:48.531000 +00:00,Y
